image_id,x_1,y_1,width,height
000001.jpg,56,60,92,128
000002.jpg,55,68,85,117
000003.jpg,21,53,82,136
000004.jpg,24,59,91,121
000005.jpg,45,61,95,114
000006.jpg,46,73,73,109
000007.jpg,47,63,85,115
000008.jpg,56,65,76,111
000009.jpg,37,62,91,120
000010.jpg,49,71,81,106
000011.jpg,46,67,78,110
000012.jpg,51,68,82,118
000013.jpg,36,61,95,122
000014.jpg,44,63,79,115
000015.jpg,47,68,81,111
000016.jpg,51,66,83,113
000017.jpg,51,66,87,121
000018.jpg,45,65,84,113
000019.jpg,50,70,78,102
000020.jpg,51,72,85,108
000021.jpg,50,69,81,114
000022.jpg,50,67,80,110
000023.jpg,44,64,85,120
000024.jpg,49,66,84,112
000025.jpg,52,65,85,115
000026.jpg,54,69,75,104
000027.jpg,36,62,85,126
000028.jpg,46,64,87,120
000029.jpg,43,65,87,117
000030.jpg,42,59,83,119
000031.jpg,44,65,87,120
000032.jpg,51,72,76,103
000033.jpg,48,67,80,112
000034.jpg,45,68,81,110
000035.jpg,50,66,77,113
000036.jpg,62,56,103,139
000037.jpg,30,73,84,106
000038.jpg,41,64,88,121
000039.jpg,38,69,83,113
000040.jpg,44,64,84,114
000041.jpg,55,51,109,146
000042.jpg,42,61,89,126
000043.jpg,48,63,82,121
000044.jpg,50,65,79,111
000045.jpg,48,65,83,119
000046.jpg,46,68,87,110
000047.jpg,51,66,80,117
000048.jpg,54,73,83,104
000049.jpg,62,57,88,129
000050.jpg,39,64,87,124
000051.jpg,48,64,86,119
000052.jpg,47,65,85,118
000053.jpg,42,65,84,110
000054.jpg,47,63,87,122
000055.jpg,49,67,79,107
000056.jpg,45,70,77,107
000057.jpg,41,70,76,111
000058.jpg,45,64,83,114
000059.jpg,66,54,88,130
000060.jpg,58,69,94,119
000061.jpg,43,71,70,109
000062.jpg,46,70,83,109
000063.jpg,48,60,96,126
000064.jpg,45,70,85,108
000065.jpg,45,66,86,111
000066.jpg,41,69,96,116
000067.jpg,33,63,87,121
000068.jpg,46,83,74,98
000069.jpg,49,74,80,105
000070.jpg,54,58,93,123
000071.jpg,51,64,85,115
000072.jpg,40,71,95,117
000073.jpg,62,65,83,115
000074.jpg,45,72,84,104
000075.jpg,57,61,83,119
000076.jpg,50,74,87,104
000077.jpg,52,61,87,119
000078.jpg,44,69,85,107
000079.jpg,56,66,83,118
000080.jpg,46,64,81,116
000081.jpg,40,66,86,122
000082.jpg,49,64,81,117
